text	count
it/him	572
it	164
animate	96
s.o. as	52
Animate.	46
by hand	32
previously mentioned	31
e.g. pants	28
by tool	20
something	19
e.g. fish	17
e.g. horse	16
Inanimate.	16
pl	15
e.g. tree	14
s.t.	13
as a tree	12
e.g. clothing	12
e.g. hide	12
e.g. tobacco	12
it as	12
e.g. pipe	11
his/her own	11
e.g. a tree	10
of something	10
from falling	9
e.g. snow	9
e.g. bread	9
e.g. bannock	9
planet	9
e.g. water	8
Animate	8
her as	8
s	7
to something	7
as wood	7
e.g. meat	7
e.g. food	7
things	7
of s.t.	7
e.g. rock	7
e.g. hay	7
from within someplace	7
by speech	7
e.g. money	6
by foot or body movement	6
in a cycle	6
e.g. canoe	6
e.g. bird	6
e.g. animal	6
about it/him	6
e.g. yarn	6
e.g. boat or vehicle	6
Inanimate	5
on s.t.	5
bird	5
s.o.	5
e.g. porcupine-quills	5
metal	5
suit in playing cards	5
e.g. in a boat	5
e.g. road	5
dress, etc.	5
s.t. as	5
by water	5
there	5
with a pole	5
of it/him	5
e.g. in the dark	5
e.g. a horse	5
them	4
in the wind	4
a bag or box	4
of an animal	4
in time or space	4
animate things	4
as food	4
onto something	4
with nails, claws	4
e.g. a cow	4
usually worn around the neck, wrapped in leather	4
e.g. a canoe	4
e.g. by shot	4
by falling	4
e.g. dog	4
e.g. stocking	4
people	4
e.g. kettle	4
it to	4
e.g. in pictures	4
e.g. a house	4
by holding	4
e.g. article of clothing	4
e.g. ankle, foot	4
e.g. a vehicle	4
with an object	4
STD	4
VD	4
horse	4
e.g. gun	4
medically	4
fish	4
e.g. as an artist	4
in playing cards	4
by rope	4
from the water	4
e.g. a dog	4
from sitting or crouching	4
with a tool	4
of a mud hole	4
i.e. metal	4
of it	3
the wall	3
e.g. lodge	3
in health	3
of wood	3
e.g. cloud	3
e.g. pail	3
i.e. the moon, month	3
e.g. a star	3
as tea	3
to a child	3
through dream or magic	3
As a horse	3
as cloth	3
e.g. a branch	3
e.g. an animal	3
e.g. string	3
as liquid	3
e.g. sun	3
e.g. stove	3
accidentally	3
is it	3
by teeth	3
e.g. in a picture	3
in falling	3
from others	3
with a load	3
e.g. grain	3
about s.t.	3
e.g. cow	3
e.g. with scissors or knife	3
e.g. on film	3
for a celebration	3
e.g. moccasin	3
with things	3
her	3
of water	3
e.g. animals	3
e.g. duck	3
e.g. a ball	3
e.g. beads	3
with something heavy	3
and stops	3
facing an audience	3
him as	3
e.g. cracklings	3
e.g. rope	3
by heat	3
by pounding	3
as a rope	3
e.g. tea	3
as metal	3
by pulling	3
e.g. a post in the ground	2
e.g. a baby	2
as trimming	2
e.g. a baby's	2
e.g. by snow	2
cut from green logs	2
blue	2
e.g. snowshoe	2
e.g. blanket	2
as s.o.	2
for a horse	2
e.g. a track	2
by snow	2
too	2
in stature	2
i.e. liquid	2
i.e. a plant	2
by vehicle	2
by horse or vehicle	2
e.g. spirit-bundle	2
e.g. wild game	2
i.e. fish	2
i.e. by tying on an extra length	2
with a wrench	2
12:00 p.m.	2
e.g. a wall	2
the water	2
e.g. a river	2
e.g. a road	2
physically	2
e.g. wood	2
spiritually	2
as a woodpecker	2
dog	2
with a stick	2
e.g. cigarette	2
e.g. sneezing powder, pepper, snuff, etc.	2
as a horse	2
e.g. tipi	2
as a board	2
e.g. cattle	2
for roasting	2
i.e. fruit	2
e.g. drugs	2
pulling	2
of a breast	2
doubtful	2
hortatory, indicating readiness or impatience	2
for directions	2
e.g. infant	2
e.g. colour, etc.	2
within	2
e.g. a stick	2
e.g. days, years	2
e.g. blood-sugar	2
e.g. paper	2
e.g. a book	2
e.g. braided strips of rabbitskin	2
it/her	2
e.g. as a disease	2
her/him	2
e.g. branch	2
e.g. hides	2
i.e. money	2
tobacco	2
in an accident	2
on a wagon	2
e.g. owl	2
as money	2
e.g. spouse	2
over s.t.	2
in texture	2
clothing	2
moccasins, boots, etc.	2
on the Bible	2
e.g. star	2
e.g. blood	2
e.g. pole	2
e.g. snake	2
e.g. recording device	2
in a sack	2
e.g. a drum	2
e.g. in a sweat-lodge	2
i.e. food	2
e.g. radio	2
i.e. a path	2
e.g. laundry	2
musical instrument	2
Another time strictly speaking of time	2
e.g. oats	2
unbeknownst to him/her	2
quickly	2
by foot or body	2
e.g. goose	2
e.g. house	2
